date,sku,name,currentStock,dailyVelocity,netSales7d,netSales15d,netSales30d,netSales90d,status,daysRemaining,suggestedOrder
2026-04-18,AP-REDBLACK-1,Apron,0,2.658,23,40,56,153,OUT_OF_STOCK,,239
2026-04-18,BD-LEAF-DOUBLE,Fitted Bedsheet,0,0.011,0,0,0,1,OUT_OF_STOCK,,1
2026-04-18,BD-LEAF-SINGLE,Fitted Bedsheet,0,0.0,0,0,0,0,OUT_OF_STOCK,,0
2026-04-18,CAP+WARMER-BLACK,Cap & Warmer Set,0,12.625,83,204,395,1052,OUT_OF_STOCK,,1136
2026-04-18,CAP+WARMER-CAMEL,Cap & Warmer Set,0,1.263,11,19,27,67,OUT_OF_STOCK,,114
2026-04-18,CAP+WARMER-COFFEE,Cap & Warmer Set,0,0.424,0,5,17,37,OUT_OF_STOCK,,38
2026-04-18,CAP+WARMER-LIGHTGREY,Cap & Warmer Set,0,1.142,6,19,45,107,OUT_OF_STOCK,,103
2026-04-18,CAP+WARMER-NAVYBLUE,Cap & Warmer Set,0,0.526,4,8,14,40,OUT_OF_STOCK,,47
2026-04-18,CAP+WARMER-RED,Cap & Warmer Set,0,0.97,5,16,41,82,OUT_OF_STOCK,,87
2026-04-18,CAP-PLAIN-BLACK,Cap,0,0.097,1,1,2,6,OUT_OF_STOCK,,9
2026-04-18,CAP-SINGLE-BLACK,Beanie Cap,0,3.34,19,57,122,271,OUT_OF_STOCK,,301
2026-04-18,CAP-SINGLE-COFFEE,Beanie Cap,0,0.331,2,5,12,33,OUT_OF_STOCK,,30
2026-04-18,CAP-SINGLE-GREY,Beanie Cap,0,0.387,2,8,13,23,OUT_OF_STOCK,,35
2026-04-18,CAP-SINGLE-MAROON,Beanie Cap,0,0.454,3,7,15,38,OUT_OF_STOCK,,41
2026-04-18,CAP-SINGLE-NAVY,Beanie Cap,0,0.694,6,8,22,40,OUT_OF_STOCK,,62
2026-04-18,CAP-TRICOLOR,Cap,0,0.207,2,2,6,11,OUT_OF_STOCK,,19
